company,issuer_name,fund,registrant,series_id,cik,accession,report_date,units,balance,val_usd,price_per_share,pct_val,asset_cat,fair_val_level,restricted,cusip
Canva,CANVA SERIES A-3 CVT PFD STOCK PP,"T. Rowe Price Growth Stock Fund, Inc.","T. ROWE PRICE GROWTH STOCK FUND, INC.",S000002087,80257,0001099263-26-002509,2025-12-31,NS,584.000000,961345.760000,1646.1400,0.0019287611,EP,3,Y,000000000
Canva,CANVA SERIES A-4 CVT PFD STOCK PP,"T. Rowe Price Growth Stock Fund, Inc.","T. ROWE PRICE GROWTH STOCK FUND, INC.",S000002087,80257,0001099263-26-002509,2025-12-31,NS,58.000000,95476.120000,1646.1400,0.0001915550,EP,3,Y,000000000
Canva,CANVA AUSTRALIA HOLDINGS PTY LTD,EUPAC Fund,EUPAC Fund,S000009618,719603,0001193125-26-074850,2025-12-31,NS,37779.000000000000,62189523.060000002384,1646.1400,0.0460867265,EC,3,Y,N/A
Canva,CANVA AUSTRALIA HOLDINGS PTY LTD,EUPAC Fund,EUPAC Fund,S000009618,719603,0001193125-26-074850,2025-12-31,NS,3308.000000000000,5445431.120000000112,1646.1400,0.0040354401,EP,3,N,N/A
Canva,CANVA AUSTRALIA HOLDINGS PTY LTD,EUPAC Fund,EUPAC Fund,S000009618,719603,0001193125-26-074850,2025-12-31,NS,133.000000000000,218936.619999999995,1646.1400,0.0001622471,EP,3,N,N/A
Canva,CANVA AUSTRALIA HOLDINGS PTY LTD,EUPAC Fund,EUPAC Fund,S000009618,719603,0001193125-26-074850,2025-12-31,NS,11.000000000000,18107.540000000001,1646.1400,0.0000134189,EP,3,N,N/A
Canva,CANVA AUSTRALIA HOLDINGS PTY LTD,EUPAC Fund,EUPAC Fund,S000009618,719603,0001193125-26-074850,2025-12-31,NS,9.000000000000,14815.260000000000,1646.1400,0.0000109791,EP,3,N,N/A
Epic Games,"Epic Games, Inc",ARK Venture Fund,ARK Venture Fund,,1905088,0000940400-26-025087,2026-04-30,NS,33515.00000000,12097964.54000000,360.9716,1.402748885375,EC,3,N,000000000
Epic Games,MVP Opportunity Fund VI LLC (Epic Games),ARK Venture Fund,ARK Venture Fund,,1905088,0000940400-26-025087,2026-04-30,NS,353.50000000,127603.48000000,360.9717,0.014795516944,EC,3,N,000000000
Epic Games,EPIC GAMES INC PP,Voya Large Cap Growth Portfolio,Voya Investors Trust,S000005752,837276,0000940400-26-023140,2026-03-31,NS,5269.00000000,2450928.04000000,465.1600,0.077486417184,EC,3,Y,000000000
Epic Games,"Epic Games, Inc.","FUNDRISE INNOVATION FUND, LLC","FUNDRISE INNOVATION FUND, LLC",,1867090,0001867090-26-000054,2026-03-31,NS,42963.00000000,19179610.00000000,446.4216,2.825025545231,,3,Y,N/A
Epic Games,EPIC GAMES    /,First Trust Private Assets Fund,First Trust Private Assets Fund,,1912938,0001193125-26-251315,2026-03-31,NS,1873,837699.25,447.2500,1.1748810257,EC,3,N,999999999
Epic Games,EPIC GAMES INC PP,T.Rowe Price Large Cap Growth Portfolio,Brighthouse Funds Trust II,S000006528,710826,0001410368-26-055807,2026-03-31,NS,7488.00000000,3483118.08000000,465.1600,0.179170028458,EC,3,Y,000000000
Epic Games,EPIC GAMES INC PP,T. Rowe Price Communications & Technology Fund,"T. ROWE PRICE COMMUNICATIONS & TECHNOLOGY FUND, INC.",S000002101,910671,0001099263-26-006587,2026-03-31,NS,35499.000000,16512714.840000,465.1600,0.2042515662,EC,3,Y,000000000
Epic Games,EPIC GAMES INC PP,"T. Rowe Price Global Technology Fund, Inc.","T. ROWE PRICE GLOBAL TECHNOLOGY FUND, INC.",S000002085,1116626,0001099263-26-006613,2026-03-31,NS,55593.000000,25859639.880000,465.1600,0.4571577466,EC,3,Y,000000000
Epic Games,EPIC GAMES INC,AB Select US Long/Short Portfolio,"AB CAP FUND, INC.",S000039195,81443,0001410368-26-051293,2026-03-31,NS,5074.00000000,3015275.24000000,594.2600,0.211670446280,EC,3,N,000000000
Epic Games,EPIC GAMES INC PP,LVIP AllianceBernstein Large Cap Growth Fund,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,S000015975,914036,0001410368-26-047041,2026-03-31,NS,6539.00000000,3299710.18000000,504.6200,0.222998879622,EC,3,Y,000000000
Epic Games,EPIC GAMES INC PP,Science & Technology Fund,VALIC Co I,S000008004,719423,0001410368-26-041604,2026-02-28,NS,3719.00000000,2225598.36000000,598.4400,0.073439463103,EC,3,Y,000000000
Epic Games,EPIC GAMES INC PP,SA MFS Large Cap Growth Portfolio,SUNAMERICA SERIES TRUST,S000008085,892538,0001410368-26-033270,2026-01-31,NS,1787.00000000,786280.00000000,440.0000,0.104202548604,EC,3,Y,000000000
