sectors,n_sectors,n_favored,p_one_sided,median_gap_diff_pts,rank,contains_paper_core
AI+Crypto+Data/AI+Defense+Robotics,5,9,0.07433279881003173,15.03508771929824,168,True
AI+Data/AI+Defense+SaaS,4,8,0.07433279881003173,11.744716121011189,169,True
Defense+Logistics+Robotics+Semiconductors,4,5,0.07723804373519026,10.82963692038496,170,False
AI+Defense+FinTech+Logistics+Quantum+Robotics+Semiconductors,7,12,0.07723804373519026,20.333333333333325,171,False
AI+Crypto+Data/AI+Defense+FinTech+Robotics,6,12,0.07723804373519026,20.333333333333325,172,True
Data/AI+Defense+Logistics,3,5,0.07723804373519026,10.715748031496076,173,False
AI+Data/AI+Defense+FinTech+Logistics+Quantum,6,12,0.07723804373519026,20.333333333333325,174,True
AI+Data/AI+Defense+Energy+FinTech+Quantum+Robotics+SaaS+Semiconductors,9,15,0.07823489450271691,25.043421052631572,175,True
AI+Crypto+Data/AI+Defense+FinTech+SaaS+Semiconductors,7,13,0.07835637973090404,15.03508771929824,176,True
AI+Data/AI+Defense+FinTech+Logistics+Quantum+Robotics,7,13,0.07835637973090404,30.34166666666666,177,True
Defense+Quantum+Semiconductors,3,4,0.07835637973090404,20.80787401574804,178,False
Data/AI+Defense+Logistics+Quantum+Semiconductors,5,7,0.07839902919555809,10.715748031496076,179,False
AI+Data/AI+FinTech+Robotics+Semiconductors,5,10,0.07839902919555809,20.333333333333325,180,False
Crypto+Data/AI+Defense+Robotics+Semiconductors,5,7,0.07839902919555809,11.18416908412765,181,False
AI+Defense+FinTech+SaaS+Semiconductors,5,10,0.07839902919555809,11.736842105263156,182,False
AI+Crypto+Data/AI+Defense+Logistics+Quantum+Semiconductors,7,11,0.07957798726000981,14.566666666666666,183,True
AI+Defense+Energy,3,6,0.07957798726000981,11.035651793525814,184,False
AI+Data/AI+Defense+Energy+Logistics+SaaS+Semiconductors,7,11,0.07957798726000981,17.75714285714286,185,True
Data/AI+Defense+Energy+Logistics+Robotics+Semiconductors,6,8,0.08133934997712822,2.2078740157480348,186,False
AI+Data/AI+Defense+Energy+Logistics+Robotics+SaaS+Semiconductors,8,12,0.08516242548626096,24.41428571428571,187,True
AI+Crypto+Data/AI+Defense+Logistics+Quantum+Robotics+Semiconductors,8,12,0.08516242548626096,18.033333333333324,188,True
AI+Crypto+Data/AI+Defense+SaaS+Semiconductors,6,10,0.08579728853641616,11.744716121011189,189,True
AI+Data/AI+Logistics+Semiconductors,4,7,0.08579728853641616,14.566666666666666,190,False
AI+Defense+Logistics+Robotics,4,7,0.08579728853641616,14.680555555555552,191,False
AI+Data/AI+Defense+Logistics+Quantum+Robotics,6,10,0.08579728853641616,18.033333333333324,192,True
Data/AI+Defense+Energy+FinTech+Logistics+Semiconductors,6,10,0.08579728853641616,10.80000000000001,193,False
AI+Semiconductors,2,4,0.08698368919757815,12.361697965571205,194,False
AI+Data/AI+Defense+FinTech+SaaS,5,11,0.08729005317822464,15.03508771929824,195,True
AI+Defense+Energy+FinTech+Quantum+Semiconductors,6,11,0.08729005317822464,9.382309941520466,196,False
AI+Defense+FinTech+Robotics+SaaS+Semiconductors,6,11,0.08729005317822464,15.03508771929824,197,False
AI+Data/AI+Defense+Robotics+SaaS,5,9,0.08883291466407589,15.03508771929824,198,True
Data/AI+Defense+FinTech+Robotics,4,8,0.08883291466407589,11.736842105263156,199,False
